AgreementDuration,PoliticalPS,MilitaryPS,TerritorialPS,ConflictInRegion,Polity2,Democ,GINI Index,Median Income PerCap,Poverty Headcount ,CentralGovernmentDebtinTotalPercentofGDP,ForeignDirectInvestmentNetPercentofGDP,GDPConstant2010USdollar,GDPGrowthAnnualPercentage,GDPPerCapitaConstant2010USdollar,GDPPerCapitaGrowthAnnualPercentage,GNIConstant2010USdollar,GNIGrowthConstant2010USdollar,GNIPerCapitaConstant2010UsDollar,InflationGDPDeflatorAnnualPercentage,TradePercentofGDP,AverageHouseholdIncomeinConstant2018USD
0,0,1,0,1,0,0,,,,,,,,,,,,,,,1182.242
1,0,1,0,1,0,0,,,,,,,,,,,,,,,986.507
0,0,1,0,1,-7,0,,,,,,,,,,,,,,,1033.163
0,0,0,0,0,-7,0,,,,,1.960573064,32959268546,0.041621462,2877.338297,-3.335903578,,,,16.27966269,,4573.6428
1,0,1,0,0,-1.5,0,,,,,4.866359032,31199470979,-2.423460716,2507.260883,-5.593913472,,,,291.4128666,,4207.5373
4,0,1,0,1,-2.2,0,,,,,7.453885618,29479832267,8.369831406,2036.777172,4.935411281,,,,1787.363624,,3185.82616
16,0,1,0,1,-2,0,42.7,,30.1,,1.615255968,80010355594,6.056071059,3325.116035,2.388495842,71799044470,7.721928439,3023.171449,31.97613682,93.52728285,5164.368512
12,0,0,0,1,-2,0,42.7,,30.1,,-0.75618755,89911844625,4.639684183,3552.956846,0.990357271,81583116729,6.153375174,3266.009344,13.60520208,89.75522248,5525.027269
21,0,0,1,1,3.181818182,0.454545455,32.775,2.945,23.725,31.5100956,0.838564394,1.09E+11,5.876889842,745.7168773,4.371026974,1.15E+11,5.958563064,788.4348345,5.69746131,36.38163567,2621.762955
24,0,1,0,1,0,0,32.525,,0.175,49.26435738,3.716161984,13980902837,9.753137983,3855.778857,10.5695771,18015802033,1.820738049,5056.991285,3.632036588,96.49486976,8499.963268
23,0,0,1,0,,,32.525,,0.175,49.26435738,3.716161984,14448502878,9.753137983,3987.238576,10.5695771,18015802033,1.820738049,5056.991285,3.632036588,96.27185485,8758.453946
18,1,1,0,1,3.421052632,0.526315789,36,,74.75,,0.706373331,1945778763,2.529678752,228.5198764,-0.546695827,1887708024,2.784669569,228.8202492,11.58495463,34.42064364,775.0104526
15,1,1,0,1,4,0.625,36,,74.75,,0.711506779,2028569061,2.651152114,228.2215411,-0.5762482,1971355776,2.994609718,228.7568665,10.40156121,37.13995302,775.16105
12,0,1,0,1,3.846153846,0.692307692,36,,74.75,,0.825322636,2128886976,2.916038771,229.3348069,-0.333294814,2083703476,3.404911965,231.5387516,9.422421687,38.71881019,783.6192923
27,0,1,0,1,1.035714286,0,,,,,7.785396359,9360429545,6.017188534,669.6720555,3.992444673,9321173493,7.340567955,658.838431,5.965324359,110.8031152,2031.530836
2,0,1,0,1,-4,0,,,,,1.14502861,3335607099,0.809497975,508.6982989,-2.383637699,,0.944667415,,9.774602074,43.18008157,986.4654
0,0,1,0,1,-4,0,,,,,2.294781148,3352204942,10.13688763,494.3487305,6.610277157,,13.2484358,,43.54496377,50.98835136,986.098
0,0,1,0,1,-4,0,,,,,1.036110757,3043671393,-15.70983705,463.697069,-18.37024803,,-18.81679434,,-1.314603719,42.64733333,957.2659
6,0,1,0,1,-2.571428571,0,,,,,3.004282705,3650122257,3.518621569,484.9884352,0.013696808,,3.87282118,,10.29795412,50.39229499,966.2514429
23,0,1,0,1,-2.083333333,0,41.55,,50.65,,6.449204014,8209630678,5.949868537,720.6925055,2.358687378,10730917444,4.085906764,830.2417049,4.277155266,73.72961917,1440.584563
19,0,1,0,1,-2,0,41.55,,50.65,,7.342626391,9129203747,6.337042515,767.0616717,2.724021683,10730917444,4.052083536,830.2417049,3.591397493,78.49160932,1533.95012
20,0,1,0,1,-2,0,41.55,,50.65,,7.037670534,8881131328,6.3663062,754.556858,2.750618639,10730917444,4.31508763,830.2417049,3.741778986,77.04243663,1508.829681
0,0,1,0,1,-2,0,,,,,46.49370355,4674366912,8.491209819,518.2665657,4.387174814,,6.250227093,,1.90781944,126.3508078,1028.5263
13,0,1,0,1,-2,0,43.3,,38.4,,1.506568691,10951513922,4.271642729,862.365553,0.869207369,10730917444,5.150079501,830.2417049,3.470876995,77.99520892,1728.4452
12,0,0,0,1,-2,0,43.3,,38.4,,1.756667945,11147174914,3.266958805,864.6440541,-0.073723192,10730917444,5.150079501,830.2417049,1.575411096,77.3912446,1745.454108
27,1,0,0,1,7.285714286,1,54.13684211,8.495,10.08421053,53.90545784,3.227913802,2.49E+11,3.479185041,5823.873411,1.994185668,2.42E+11,3.523124542,5668.792704,10.65393346,36.21597216,9741.357261
17,0,0,1,0,6.944444444,1,50.6,,15.7,,0.644266511,908127063.9,2.703431616,1319.167968,0.288440047,895145238.3,2.726376884,1316.774811,2.875647262,37.33034342,2682.932178
0,0,1,0,1,0,0,,,,,0.236879335,14674166079,-4.270140831,319.562059,-6.500060777,13420474525,-7.600242311,292.2601836,441.9024919,41.17766082,688.4143
15,0,1,0,1,3.0625,0,42.15,,85.35,,5.087038146,23706019797,6.058437591,349.9519675,2.652772402,22508144186,6.018133452,332.5394986,16.06583988,68.21699094,730.5590313
19,0,1,0,1,-4.25,0,48.1,,45.2,44.33636035,11.55934673,10976368378,3.354186941,2659.035465,0.423325958,9909996378,4.430125394,2339.269909,6.931060666,140.9891839,3535.633455
1,0,0,0,1,2,0,42.35,,28.65,,1.641785796,27939829902,4.289926087,1315.484774,1.869787195,29539873519,6.115030463,1318.152852,2.328740462,81.77731366,3099.417206
1,0,0,0,1,2,0,42.35,,28.65,,1.724381996,8101143219,3.742812225,1043.868985,1.891312968,9109722259,5.334677768,1140.611544,2.30211377,72.28325696,2716.980319
0,0,0,0,0,0,0,,,,,1.709389786,21923409951,1.23177284,1219.967017,-0.857498876,,,,-2.890620394,84.60668736,2848.025
13,0,0,0,1,2.285714286,0,42.35,,28.65,,1.559797206,28818372804,4.911898606,1328.376476,2.442611143,29539873519,6.115030463,1318.152852,2.524960778,82.0402029,3133.072879
23,0,0,0,0,6.125,1,32.14285714,16.46,0.857142857,,3.823637823,55202302639,2.226984216,12809.07357,2.777658516,54106429656,2.126976896,12552.9162,3.053352228,81.9410157,17087.36675
24,0,1,0,1,0.56,0,42.7,,19.675,,6.707968516,1128611700,7.474454866,1343.26873,5.722107619,,6.742223552,,0.713867711,100.4145549,2406.010708
18,0,1,0,1,2.315789474,0,42.7,,19.675,,8.753402146,1128611700,7.474454866,1343.26873,5.722107619,,6.742223552,,0.713867711,100.4145549,2525.935153
26,0,0,0,0,7.37037037,1,46.54090909,7.335,8.613636364,49.05289774,2.184752853,17303270281,2.551549309,2865.717316,1.852757693,16736739730,2.447723549,2773.389337,3.521529602,68.66580388,5834.527715
24,0,0,1,1,5.92,0,38.35454545,5.615,10.70454545,43.77812206,8.557132669,9964766486,4.893195213,2571.7951,6.061278073,13491725931,4.201922924,3612.755611,254.9440949,86.36771495,5372.795964
22,0,0,0,0,8,1,52.36666667,,10.6,19.95752548,0.903008166,38557759364,3.539803603,2763.931483,1.290918728,37799098134,3.511863776,2711.026156,5.10630416,56.80899608,6453.179422
1,0,0,0,1,1.5,0,,,,,1.230140557,623319066.1,-13.53722116,534.717471,-15.19469933,,,,10.1904504,58.98209483,1412.55685
0,0,0,0,0,-7,0,,,,,-0.149075037,5984242291,-5.426295999,802.1031691,-7.21613454,5948867022,-5.169808184,797.3616139,18.33664246,48.75226664,1836.4401
25,0,0,1,1,8.923076923,1,34.3,,34.1,54.47820757,1.317332982,1.40E+12,6.606428965,1165.470434,4.992195165,1.38E+12,6.625576268,1154.585882,6.213144909,37.25488513,2971.933642
0,0,0,0,1,8,1,31.7,,45.9,51.75980705,0.197056158,5.67E+11,4.75077622,611.1188067,2.706727733,5.59E+11,4.899125823,602.9664318,9.861782853,19.65153932,1539.8689
1,0,0,0,0,6,1,31.75,,22.7,30.97076139,-0.090052341,5.03E+11,4.639922257,2297.450875,3.233584837,,,,5.691740416,56.34797776,4748.45955
13,0,0,0,0,8.357142857,1,37.26923077,4.42,14.47692308,28.57409952,1.953353976,8.37E+11,5.522629245,3360.162597,4.164918404,9.18E+11,5.314063702,3585.483699,8.394372346,48.89092564,8200.62605
28,0,0,0,1,3.034482759,0,35,,49.36666667,21.28794316,27.449788,2009730960,2.838576903,530.3845787,-0.306327589,1820600694,2.615557203,480.1587976,5.408384384,148.9053975,638.8735345
1,0,0,0,1,0,0,,,,,,,,,,,,,,,671.3083
15,0,0,0,0,5.5,0,35,,49.36666667,21.28794316,32.69987713,2047837061,2.771501074,514.719137,-0.380845503,1864712987,2.842900016,469.11724,6.126476267,163.7725839,709.0423188
3,0,1,0,1,7,1,50.4,,85.1,,0.063048328,4555343731,3.869660882,507.6438705,1.321234431,4552140370,3.769102159,507.3302828,9.430051398,49.91221556,575.027475
0,0,0,0,0,4,0,54.8,,20.7,25.16601782,2.235071889,7.55E+11,6.773258694,8109.198698,5.072444833,7.30E+11,7.170615054,7842.318746,26.54551237,50.41920008,13500.9955
21,0,0,0,0,8.454545455,1,33.2952381,7.965,10.41578947,39.6762229,5.048808227,6509351423,3.54444101,1818.4068,3.704687807,6984759816,3.702379193,1951.354896,12.12515998,113.8108984,4127.3804
21,0,1,0,0,4,0,48.73333333,1.33,77.66666667,,8.527647993,6413017062,7.917167361,313.5359761,4.775058549,6179711847,8.133005175,301.6947619,15.50167828,70.01068608,663.82785
12,0,0,0,1,6.076923077,1,32.8,,15,42.58203441,0.324162728,17537207054,4.512175241,648.3002949,3.81423061,17728586605,4.562180495,655.3689481,8.528345911,47.88310547,2422.145092
0,0,0,0,1,8,1,,,,,-2.138160136,2979582135,1.449437876,336.2850588,-1.911303673,,,,-0.142229061,33.73947524,816.3364
24,0,0,0,1,3.92,0,37.8,1.965,64.62,,4.348335358,5230899887,4.547042635,349.3124294,0.730492223,6315065889,5.371395294,355.8804523,4.244420067,50.42095309,856.94404
17,0,0,0,0,8.833333333,1,38.21428571,8.715,7.2,,4.566143181,9074189584,2.676518548,4384.339514,2.544078927,8867113113,2.526441177,4284.505289,2.864857479,100.3644631,9934.610806
0,0,0,0,1,4,0,,,,46.6108276,3.081772279,7044457177,9.546897709,1490.717832,7.003663866,,9.694271971,,6.994854893,94.41979144,2286.6202
0,0,0,0,0,4,0,,,,53.54501564,1.03493752,10043187460,5.94210906,1982.601572,3.503353419,,6.294548437,,7.253088482,93.30266532,3001.4914
17,0,0,1,0,4.388888889,0,41.9,,38,48.69307475,0.571509618,14219990952,4.424507534,1930.171704,2.205689193,13103843048,0.975739806,1792.467068,8.313484817,122.7578644,3074.960694
23,0,1,0,0,8,1,46.45,4.72,11.51666667,58.21949536,1.707598754,1.83E+11,4.992902676,2021.583217,3.056593803,2.17E+11,5.647905438,2380.532709,5.0561958,83.58003668,5383.071054
22,0,1,0,0,8,1,46.45,4.72,11.51666667,58.06979817,1.695143743,1.87E+11,5.006564,2043.926014,3.090628755,2.22E+11,5.678372926,2416.251157,4.947731694,83.71227592,5430.948757
17,0,0,0,0,8,1,46.2,4.72,11.04,58.5234474,1.620458095,2.06E+11,5.40018421,2172.605795,3.58500927,2.47E+11,5.51291872,2599.129599,3.624212351,79.39058444,5721.772956
0,0,1,0,0,-7,0,,,,,0.296799521,2475353880,-8.108691874,395.1867673,-1.67594807,2458731796,-8.322145022,392.533075,13.87050258,25.67900701,961.4258
3,0,1,0,0,7.75,1,39.2,,37.4,,1.943712206,13867142396,4.723358602,1232.886921,2.057205583,13773978060,4.872262897,1224.550959,3.080817993,65.74155508,2777.2149
27,0,0,0,0,8,1,39.6,9.73,5.85,,4.825556889,35975821056,3.160334156,4923.399116,3.554636143,36088525612,2.745024675,4948.548364,20.02746576,70.05879577,9410.819846
1,0,1,0,0,2,0,,,,,0.141107071,1342960593,-2.061630308,310.6108549,-2.410083317,,,,15.91662743,38.93677735,949.666
1,1,1,0,1,0,0,,,,,3.106537853,1342532131,2.336721149,296.7173204,0.026937713,,,,10.23749674,45.6395633,764.57545
18,1,1,0,0,5.842105263,0,37.1,,56.4,,7.72096959,2583833237,5.974779422,406.2458094,2.99660304,2577460564,6.892088193,406.3405753,13.37101915,58.26535521,1237.426679
0,0,0,0,1,0,0,,,,,,,,,,,,,,,1674.9753
0,0,0,0,1,0,0,,,,,,,,,,,,,,,1300.1053
25,0,1,0,0,8.961538462,1,61.71428571,4.52,25.95714286,45.08820849,1.372744822,3.28E+11,2.691729769,6680.782614,1.119559135,3.20E+11,2.63903735,6521.107985,7.393302315,55.10268146,10060.4535
13,0,1,1,1,-1.571428571,0,35.4,,14.9,,2.865068401,65483880379,4.341810307,1639.329107,3.527274994,59392495368,5.351508372,4.509223626,18.50655826,31.50600577,1670.464096
21,1,1,0,1,-2.636363636,0,32.13333333,4.765,20.08333333,,4.170653255,5193060587,7.150161833,685.305039,5.020560182,4792180747,8.525878662,676.9146652,20.75989058,109.0512999,2297.443132
16,0,1,0,1,-1.529411765,0,43.22,2.285,48.74,,4.16079245,20307191679,6.502067487,602.8474347,3.049531065,19876879917,6.511687968,590.1290203,7.704752748,45.6462997,1829.154429
20,0,0,1,0,9.714285714,1,34.10833333,38.585,0.25,66.14436088,4.527893381,2.44E+12,1.992473764,39238.61522,1.358952481,2.41E+12,1.951261667,38895.11207,1.882648479,55.10971661,35856.81172
